p102-Brd1-1,wall,304,232,Door,99,207
p102-Brd1-2,wall,99,232,None,0,0
p102-Brd1-3,wall,83,232,None,0,0
p102-Brd1-4,closet wall,80,232,None,0,0
p102-Brd1-5,wall,243,232,Closet,160,207
p102-Brd1-6,closet wall,243,232,Closet,160,207
p102-Brd1-7,closet wall,203,232,None,0,0
p102-Brd1-8,closet wall,80,232,None,0,0
p102-Brd1-9,wall,320,232,Window,99,99
p102-Brd1-10,wall,342,232,None,0,0asdasdasd,asdasdasd123asa,300,1200,Window,150,150
p2o-nr-0sd,adasd123sfas,150,150,Window,60,80
asdasd,asdasd12123,26,100,None,0,0
adsasd123123,asdasd,277,1200,None,0,0
123123asdasd,123asdasd,1231,1231,Window,50,72
