boss,Owner,Oct 17 2020,5
sup II,Supervisor,Oct. 20 2025,0
SUP I,Supervisor,Apr 01 2025,0.5
sup II,Supervisor,Oct. 20 2025,0
PG I,Entry,Feb. 26 2010,2.3
PG II,TeamMember,May 14 2012,1.5
PG IV,TeamLeader,Oct. 14 2013,5.6
Sup,TeamLeader,Apr. 14 2019,5.9
DH I,DepartmentHead,Feb. 26 2025,0
boss,Owner,Oct 17 2020,5
sup II,Supervisor,Oct. 20 2025,0
SUP I,Supervisor,Apr 01 2025,0.5
sup II,Supervisor,Oct. 20 2025,0
PG I,Entry,Feb. 26 2010,2.3
PG II,TeamMember,May 14 2012,1.5
PG IV,TeamLeader,Oct. 14 2013,5.6
Sup,TeamLeader,Apr. 14 2019,5.9
DH I,DepartmentHead,Feb. 26 2025,0
boss,Owner,Oct 17 2020,5
sup II,Supervisor,Oct. 20 2025,0
SUP I,Supervisor,Apr 01 2025,0.5
sup II,Supervisor,Oct. 20 2025,0
PG I,Entry,Feb. 26 2010,2.3
PG II,TeamMember,May 14 2012,1.5
PG IV,TeamLeader,Oct. 14 2013,5.6
Sup,TeamLeader,Apr. 14 2019,5.9
DH I,DepartmentHead,Feb. 26 2025,0
boss,Owner,Oct 17 2020,5
sup II,Supervisor,Oct. 20 2025,0
SUP I,Supervisor,Apr 01 2025,0.5
sup II,Supervisor,Oct. 20 2025,0
PG I,Entry,Feb. 26 2010,2.3
PG II,TeamMember,May 14 2012,1.5
PG IV,TeamLeader,Oct. 14 2013,5.6
Sup,TeamLeader,Apr. 14 2019,5.9
DH I,DepartmentHead,Feb. 26 2025,0
boss,Owner,Oct 17 2020,5
sup II,Supervisor,Oct. 20 2025,0
SUP I,Supervisor,Apr 01 2025,0.5
sup II,Supervisor,Oct. 20 2025,0
PG I,Entry,Feb. 26 2010,2.3
PG II,TeamMember,May 14 2012,1.5
PG IV,TeamLeader,Oct. 14 2013,5.6
Sup,TeamLeader,Apr. 14 2019,5.9
DH I,DepartmentHead,Feb. 26 2025,0
